start_point,10^-2,10^-3,10^-4,10^-5,10^-7,10^-10,10^-15
-1.2,0.4301597090019467,0.4301597090019467,0.4301597090019468,0.4301597090019468,0.4301597077612656,0.4301597077612656,0.4301320473116016
-1.1,0.4301597090019468,0.4301597090019467,0.4301597090019384,0.4301597090019384,0.4301597090019384,0.43015963733796475,0.4299512667240607
-1.0,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.43015970899901224,0.43015970899901224,0.43015836201436364,0.43015836201436364
-0.9,0.4301597090019467,0.4301597090019467,0.4301597090019468,0.4301597090019468,0.4301597087988492,0.4301597087988492,0.4301485083718003
-0.8,0.4301597090019467,0.4301597090019467,0.43015970900194667,0.43015970900194667,0.4301597047493226,0.4301597047493226,0.4301085536924722
-0.7,0.4301597090019467,0.4301597090019468,0.4301597090019447,0.4301597090019447,0.4301597090019447,0.4301596738320804,0.43001325999081913
-0.6,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.4301597090019171,0.4301597090019171,0.4301595735623583,0.42987418328691673
-0.5,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.4301597090018331,0.4301597090018331,0.43015944384845156,0.43015944384845156
-0.4,0.4301597090019467,0.4301597090019468,0.4301597090019468,0.43015970900183303,0.43015970900183303,0.43015944384222715,0.43015944384222715
-0.3,0.4301597090019467,0.4301597090019468,0.4301597090019468,0.4301597090019225,0.4301597090019225,0.43015958672312865,0.42988823265398524
-0.2,0.4301597090019468,0.4301597090019468,0.43015970900194606,0.43015970900194606,0.43015970900194606,0.43015968913843156,0.4300494606969337
-0.1,0.4301597090019468,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.4301597083591112,0.4301597083591112,0.43013979038822464
0.0,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.43015970900069783,0.43015970900069783,0.43015883025112717,0.43015883025112717
0.1,0.4301597090019468,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.43015970671089077,0.43015970671089077,0.43012213727476
0.2,0.4301597090019468,0.4301597090019467,0.43015970900193595,0.43015970900193595,0.43015970900193595,0.4301596272500339,0.4299372250447137
0.3,0.4301597090019467,0.4301597090019468,0.4301597090019468,0.43015970900190365,0.43015970900190365,0.43015954568956977,0.4298465786453739
0.4,0.4301597090019468,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.4301597044881641,0.4301597044881641,0.43010701021453124
0.5,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.4301597089977429,0.4301597089977429,0.4301597089977429,0.43015809682723855
0.6,0.4301597090019467,0.4301597090019468,0.4301597090019456,0.4301597090019456,0.4301597090019456,0.43015968252124775,0.43015968252124775
0.7,0.4301597090019468,0.4301597090019468,0.4301597090019467,0.43015970885780985,0.43015970885780985,0.43015970885780985,0.43015027242800175
0.8,0.4301597090019468,0.4301597090019468,0.4301597090019467,0.4301597090019467,0.43015970796865066,0.43015970796865066,0.4301344619261223
